run_id,series,label,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,NMSE_Y_mean
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.85,0.0771334320306778,0.07754639536142349,0.24977879226207733,0.34238946437835693,0.6576105356216431
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.9,0.09291283041238785,0.09131322056055069,0.26248595118522644,0.35283470153808594,0.6471652984619141
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.95,0.08947628736495972,0.08848854154348373,0.2720375955104828,0.35640817880630493,0.6435918211936951
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.0,0.11119858920574188,0.11148316413164139,0.2834874093532562,0.36256784200668335,0.6374321579933167
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.05,0.14147421717643738,0.14299078285694122,0.2980627715587616,0.37520211935043335,0.6247978806495667
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.1,0.16653911769390106,0.16685207188129425,0.312502384185791,0.3864019513130188,0.6135980486869812
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.15,0.19760331511497498,0.19818361103534698,0.32677990198135376,0.396198570728302,0.603801429271698
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.2,0.24195225536823273,0.24303799867630005,0.34656909108161926,0.4169790744781494,0.5830209255218506
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.25,0.27752482891082764,0.2777639329433441,0.36460962891578674,0.43171584606170654,0.5682841539382935
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.3,0.3226400911808014,0.3244645893573761,0.38750144839286804,0.45792311429977417,0.5420768857002258
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.4,0.4041477143764496,0.40562546253204346,0.4375690519809723,0.5104602575302124,0.4895397424697876
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.5,0.49498119950294495,0.4980437457561493,0.5032587051391602,0.5794706344604492,0.42052939534187317
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.6,0.597437858581543,0.6003407835960388,0.5982270836830139,0.6608090400695801,0.3391909897327423
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.7,0.7011165618896484,0.7044523358345032,0.7017204165458679,0.7424338459968567,0.2575661540031433
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.8,0.8004292845726013,0.8039706945419312,0.8016543388366699,0.8224501609802246,0.17754985392093658
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.9,0.8997326493263245,0.9041987061500549,0.901242196559906,0.9082632064819336,0.09173677116632462
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,2.0,0.9898356795310974,0.995043158531189,0.9922963976860046,0.9940721988677979,0.005927827209234238
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,2.1,0.9974486231803894,1.002754807472229,0.9998776316642761,0.9999994039535522,5.679497121491295e-07
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,2.3,0.9975658059120178,1.0027425289154053,0.9999305009841919,0.9999972581863403,2.7182325084140757e-06
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,2.5,0.9975932836532593,1.0028011798858643,0.9999748468399048,1.0,8.929516681632776e-09
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,1.0
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,0.3,0.007712865248322487,0.00799402967095375,0.05129566416144371,0.09462130069732666,0.9053786993026733
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,0.6,0.026344629004597664,0.025756020098924637,0.18428587913513184,0.2850872278213501,0.7149127721786499
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,0.75,0.0467863455414772,0.04692903161048889,0.22652772068977356,0.3256065249443054,0.6743934750556946
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,0.85,0.061224404722452164,0.0621364563703537,0.25105181336402893,0.3434813618659973,0.6565186381340027
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,0.9,0.0712832361459732,0.0721869096159935,0.2626016139984131,0.3510780334472656,0.6489219665527344
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,0.95,0.09449966996908188,0.09528038650751114,0.2753320634365082,0.35999780893325806,0.6400021910667419
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.0,0.11357123404741287,0.1151445135474205,0.2870842218399048,0.3673769235610962,0.6326230764389038
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.05,0.15082065761089325,0.15232934057712555,0.30177241563796997,0.379727303981781,0.620272696018219
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.1,0.1789172738790512,0.18059508502483368,0.31660881638526917,0.3912609815597534,0.6087390184402466
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.15,0.19681157171726227,0.19787980616092682,0.3293086290359497,0.39905858039855957,0.6009414196014404
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.2,0.23949401080608368,0.24149081110954285,0.34712186455726624,0.4165554642677307,0.5834445357322693
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.25,0.27919238805770874,0.280669242143631,0.36779525876045227,0.4367050528526306,0.5632949471473694
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.3,0.3265988528728485,0.32727697491645813,0.3903559744358063,0.46096551418304443,0.5390344858169556
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.4,0.4198891520500183,0.4202270805835724,0.4434666633605957,0.5226977467536926,0.4773022532463074
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.5,0.5025165677070618,0.5027958154678345,0.5065842866897583,0.5856634974479675,0.41433650255203247
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.6,0.598965048789978,0.5997227430343628,0.6001341938972473,0.6606025695800781,0.3393974006175995
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.7,0.7023155689239502,0.7044604420661926,0.7024348378181458,0.7427068948745728,0.25729310512542725
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.8,0.7996788620948792,0.8019987344741821,0.8002152442932129,0.819028377532959,0.18097159266471863
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,1.9,0.9005770087242126,0.9023188352584839,0.9002991318702698,0.9070338606834412,0.09296615421772003
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,2.0,0.992233157157898,0.9937781095504761,0.9921121597290039,0.9940577149391174,0.005942291580140591
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,2.1,0.9999210834503174,1.0015125274658203,0.9998812079429626,0.999999463558197,5.412176165009441e-07
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,2.3,0.9999865889549255,1.0015347003936768,0.9999232888221741,0.9999971985816956,2.8027327516610967e-06
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M80,M=80,80,2.5,1.0000319480895996,1.001583456993103,0.9999738335609436,1.0,8.57891535588351e-09
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,1.0
