run_id,series,alpha,Q_Y_COS_mean,Q_Y_COS_std,Q_Y_mean,NMSE_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.0,0.0015963010489940643,0.007116768447528793,0.006369596067816019,1.984325361251831,-0.984325361251831,-0.0013742801733314992,0.011558239767327904
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.1,0.022208138927817346,0.009319857713004592,0.022287735156714915,1.9666193962097167,-0.9666193962097168,0.009235292673110962,-0.004319417057558894
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.2,0.04839076548814773,0.004867717214702953,0.04886830821633339,1.921938419342041,-0.921938419342041,0.0012280825525522233,0.00013077822513878344
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.3,0.07494017332792283,0.003306255982262269,0.07701421678066253,1.9022469758987426,-0.9022469758987427,0.0003457940649241209,-0.0077053879940649495
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.4,0.09925393611192704,0.007155777549734774,0.1032843455672264,1.8766662359237671,-0.8766662359237671,0.0004434586502611637,-0.0012699481099843978
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.5,0.12094198912382126,0.004183603959700794,0.12578592747449874,1.8303679704666138,-0.8303679704666138,0.0031079193569894413,-0.0001049709040671587
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.6,0.15274097621440888,0.007112595090668878,0.16301226019859313,1.8124263048171998,-0.8124263048171997,0.004531154211144894,0.0034853615798056126
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.7,0.1775174021720886,0.0039837512943394875,0.19380466341972352,1.8044026374816895,-0.8044026374816895,0.004512561543378979,0.00464820684865117
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.8,0.20092312395572662,0.007560336463977991,0.22316292226314544,1.7875803470611573,-0.7875803470611572,-0.0011611984111368657,-0.0009234857716364786
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",0.9,0.23355713188648225,0.006178444052579916,0.2647079050540924,1.7550660133361817,-0.7550660133361816,0.0018935630447231232,0.002893197163939476
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",1.0,0.261225962638855,0.005365421639975243,0.30264176726341246,1.7370089530944823,-0.7370089530944824,-0.0061784513294696804,-0.009377124812453985
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",1.1,0.28237239718437196,0.008647448818851572,0.3322970151901245,1.720405101776123,-0.720405101776123,0.005699731048662215,0.002687414363026619
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",1.2,0.3123490929603577,0.0062008061601603985,0.37705928087234497,1.7035038709640502,-0.7035038709640503,0.0038889803923666476,0.005349657032638788
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",1.3,0.33423480987548826,0.0070891046294286044,0.41042816638946533,1.686996841430664,-0.6869968414306641,-0.0037357113789767025,-0.00911585769499652
