run_id,series,alpha,Q_W_mean
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.1,0.001281974187
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.2,0.005396934671
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.3,0.002147542438
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.4,-0.001893949229
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.5,-0.003878295707
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.6,-0.003675041313
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.7,-0.002241725253
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.8,0.004162795826
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.9,-0.003088985221
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3,-0.001241493435
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.1,0.006137048551
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.2,0.00288213134
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.3,0.002253231651
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.4,0.001138187732
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.5,-0.0002193354769
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.6,0.009519698782
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.7,0.005258571584
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.8,-0.004213456606
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.9,-0.007656242047
