source_run,series,label,M,alpha,Q_Y_COS_proxy,Q_Y_mean,FIT_Y_mean,NMSE_Y_mean,Q_W_mean,Q_X_mean,schema_version,profile,cos_source
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.4,0.7252287898681992,0.4383697509765625,0.5113710165023804,0.48862898349761963,0.40410688519477844,0.40904268622398376,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.5,0.7739113309923878,0.5100027322769165,0.5857326984405518,0.41426730155944824,0.500352144241333,0.5048867464065552,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.6,0.8198987416875511,0.6005138754844666,0.6645821928977966,0.33541780710220337,0.5989817976951599,0.6051256656646729,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.7,0.8677835032526304,0.7051017880439758,0.7499954700469971,0.25000452995300293,0.7040004730224609,0.7131539583206177,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.8,0.9114569786094363,0.8076658844947815,0.8301121592521667,0.16988782584667206,0.8046357035636902,0.8149597644805908,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,1.9,0.9549165815176456,0.9026537537574768,0.911772608757019,0.08822738379240036,0.9015683531761169,0.9134685397148132,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,2.0,0.9972203167096698,0.9922865629196167,0.9944436550140381,0.005556339398026466,0.9892231225967407,1.0025696754455566,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,2.1,0.999999505886225,0.9998438954353333,0.9999989867210388,1.0122884077645722e-06,0.9969179630279541,1.0103949308395386,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,2.3,0.9999986216337576,0.9999213218688965,0.9999972581863403,2.7624946596915834e-06,0.9969977140426636,1.0104581117630005,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M20,M=20,20,2.5,0.9999999944192928,0.9999714493751526,1.0,1.1975915370499024e-08,0.9971113204956055,1.0104491710662842,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.0,0.0,0.0,0.0,1.0,5.605193857299268e-45,5.605193857299268e-45,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.3,0.560989833899951,0.05290903523564339,0.09692299365997314,0.9030770063400269,0.007042609620839357,0.007055718917399645,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.6,0.6303869973074067,0.1805272251367569,0.27904367446899414,0.7209563255310059,0.019296372309327126,0.01982194371521473,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.75,0.6303699760186022,0.22426515817642212,0.32195979356765747,0.6780402064323425,0.045912615954875946,0.047189801931381226,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.85,0.6300475571149607,0.24977879226207733,0.34238946437835693,0.6576105356216431,0.0771334320306778,0.07754639536142349,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.9,0.6326575507947404,0.26248595118522644,0.35283470153808594,0.6471652984619141,0.09291283041238785,0.09131322056055069,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,0.95,0.6279643043503966,0.2720375955104828,0.35640817880630493,0.6435918211936951,0.08947628736495972,0.08848854154348373,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.0,0.6270265317043582,0.2834874093532562,0.36256784200668335,0.6374321579933167,0.11119858920574188,0.11148316413164139,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.05,0.6341424890290223,0.2980627715587616,0.37520211935043335,0.6247978806495667,0.14147421717643738,0.14299078285694122,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.1,0.639757744148985,0.312502384185791,0.3864019513130188,0.6135980486869812,0.16653911769390106,0.16685207188129425,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.15,0.6441451982087764,0.32677990198135376,0.396198570728302,0.603801429271698,0.19760331511497498,0.19818361103534698,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.2,0.6594929267544759,0.34656909108161926,0.4169790744781494,0.5830209255218506,0.24195225536823273,0.24303799867630005,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.25,0.6684703646153601,0.36460962891578674,0.43171584606170654,0.5682841539382935,0.27752482891082764,0.2777639329433441,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.3,0.688159412340007,0.38750144839286804,0.45792311429977417,0.5420768857002258,0.3226400911808014,0.3244645893573761,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.4,0.7245892845533738,0.4375690519809723,0.5104602575302124,0.4895397424697876,0.4041477143764496,0.40562546253204346,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.5,0.7701114083690397,0.5032587051391602,0.5794706344604492,0.42052939534187317,0.49498119950294495,0.4980437457561493,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.6,0.817386535962825,0.5982270836830139,0.6608090400695801,0.3391909897327423,0.597437858581543,0.6003407835960388,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.7,0.863099941990667,0.7017204165458679,0.7424338459968567,0.2575661540031433,0.7011165618896484,0.7044523358345032,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.8,0.9071956677367041,0.8016543388366699,0.8224501609802246,0.17754985392093658,0.8004292845726013,0.8039706945419312,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,1.9,0.9530573723018237,0.901242196559906,0.9082632064819336,0.09173677116632462,0.8997326493263245,0.9041987061500549,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
/home/sucia/Matrix_Factorization/artifacts/trials/metric_plateau_m_sweep_2k_grid_c/20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M50,M=50,50,2.0,0.9970332774517163,0.9922963976860046,0.9940721988677979,0.005927827209234238,0.9898356795310974,0.995043158531189,5,projection_qy_physical_latent_v2,derived_from_schema_v5_Q_Y_projection_and_NMSE_mean
