run_id,size_N,N,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,R_W_mean,R_X_mean
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.85,0.08488136529922485,0.08886495977640152,0.2530820071697235,0.34877753257751465,0.2310119867324829,0.23101191222667694
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.9,0.10160037130117416,0.1047215387225151,0.2651594281196594,0.3570418357849121,0.2497841864824295,0.2497842162847519
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.95,0.11002228409051895,0.11538544297218323,0.27624446153640747,0.36385977268218994,0.2687751054763794,0.2687751054763794
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.0,0.12695026397705078,0.12957634031772614,0.29038116335868835,0.3750156760215759,0.2877257466316223,0.287725567817688
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.05,0.1571708619594574,0.15955089032649994,0.3020501136779785,0.3821742534637451,0.30766192078590393,0.30766192078590393
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.1,0.1887124627828598,0.18991445004940033,0.31748878955841064,0.3941008448600769,0.32719171047210693,0.32719171047210693
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.15,0.21297866106033325,0.21832343935966492,0.33425867557525635,0.40768224000930786,0.3483133614063263,0.3483133614063263
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.2,0.24295035004615784,0.24395331740379333,0.3535984456539154,0.4274715185165405,0.36874040961265564,0.36874037981033325
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.25,0.26974377036094666,0.2717929482460022,0.36411580443382263,0.43135565519332886,0.3884018361568451,0.38839462399482727
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.3,0.3070649802684784,0.30925753712654114,0.3881269097328186,0.45600080490112305,0.4089643657207489,0.40896445512771606
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.4,0.40500327944755554,0.4075221121311188,0.4390934705734253,0.5130071043968201,0.4536372125148773,0.4536079466342926
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.5,0.49565669894218445,0.5021598935127258,0.506879985332489,0.5859326124191284,0.5078738331794739,0.5084890723228455
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.6,0.5880858302116394,0.594561755657196,0.5946454405784607,0.654637336730957,0.5962376594543457,0.596537709236145
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.7,0.6994518041610718,0.7044834494590759,0.7005312442779541,0.7378485202789307,0.6997810006141663,0.6999594569206238
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.8,0.8035590648651123,0.809546172618866,0.805464506149292,0.8282002806663513,0.8023041486740112,0.8024426102638245
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.9,0.9060911536216736,0.9130994081497192,0.9062423706054688,0.915564239025116,0.9045810699462891,0.9046434164047241
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.0,0.991319477558136,1.0001018047332764,0.9929191470146179,0.9950693845748901,0.9932693243026733,0.9932358860969543
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.1,0.99848872423172,1.0071948766708374,0.9998846650123596,0.999999463558197,1.0026249885559082,1.0023252964019775
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.3,0.9984829425811768,1.0072773694992065,0.9999116659164429,0.9999973177909851,1.00261390209198,1.0024899244308472
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.5,0.9985730051994324,1.0072959661483765,0.9999744296073914,1.0,1.0027954578399658,1.0025275945663452
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,0.0,0.0
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.3,0.007649496663361788,0.008301774971187115,0.05180907994508743,0.09502780437469482,0.0263354629278183,0.0263354629278183
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.6,0.02748897299170494,0.02738562412559986,0.17962725460529327,0.2785290479660034,0.13724441826343536,0.13724441826343536
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.75,0.0502205565571785,0.05321282893419266,0.223098024725914,0.32055264711380005,0.1935337483882904,0.1935337483882904
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.85,0.06595956534147263,0.06740507483482361,0.248288094997406,0.3406605124473572,0.22989486157894135,0.22989483177661896
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.9,0.08261101692914963,0.08345503360033035,0.2587345838546753,0.3478037118911743,0.24813242256641388,0.24813243746757507
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.95,0.09270546585321426,0.09222082793712616,0.2721332311630249,0.3570783734321594,0.26698967814445496,0.26698964834213257
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.0,0.11008144915103912,0.1131506934762001,0.28301170468330383,0.36292898654937744,0.2853066623210907,0.2853066921234131
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.05,0.13682793080806732,0.1425185352563858,0.2973531484603882,0.37380272150039673,0.30443862080574036,0.30443862080574036
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.1,0.1657804697751999,0.1713462918996811,0.3099888265132904,0.3825843930244446,0.324027419090271,0.324027419090271
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.15,0.1962715983390808,0.20003163814544678,0.3272184133529663,0.39762449264526367,0.343889057636261,0.3438889682292938
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.2,0.2246832400560379,0.22742432355880737,0.34209486842155457,0.407920241355896,0.3649066984653473,0.3649064004421234
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.25,0.2544267773628235,0.2575516700744629,0.3601943254470825,0.4232786297798157,0.38517284393310547,0.3851732313632965
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.3,0.30322790145874023,0.31102386116981506,0.3830164968967438,0.44714951515197754,0.4072265028953552,0.4072125554084778
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.4,0.3992821276187897,0.40645700693130493,0.4339347779750824,0.503875732421875,0.4528416395187378,0.452674925327301
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.5,0.4843720495700836,0.49087655544281006,0.49971500039100647,0.5708223581314087,0.5088453888893127,0.5085537433624268
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.6,0.590199887752533,0.5963254570960999,0.5957251191139221,0.6527490019798279,0.5982039570808411,0.5981842279434204
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.7,0.7014296650886536,0.7077944874763489,0.7032787203788757,0.7440216541290283,0.7015432715415955,0.7015759348869324
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.8,0.8041442036628723,0.8120776414871216,0.8061202168464661,0.8273853063583374,0.8026373386383057,0.8024042248725891
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.9,0.9009602069854736,0.9100366830825806,0.9019677042961121,0.9106674790382385,0.9019973278045654,0.901687741279602
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.0,0.9889021515846252,0.9988327026367188,0.9918704628944397,0.9939798712730408,0.9919769763946533,0.9918037056922913
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.1,0.9965659379959106,1.0065722465515137,0.9998831152915955,0.999999463558197,1.0014379024505615,1.0011723041534424
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.3,0.9966250658035278,1.0065923929214478,0.9999228119850159,0.9999971985816956,1.0015569925308228,1.001212477684021
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.5,0.9967077374458313,1.0066120624542236,0.9999748468399048,1.0,1.0017189979553223,1.0012472867965698
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,0.0,0.0
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.3,0.00704260915517807,0.007055718917399645,0.05290903523564339,0.09692299365997314,0.026791654527187347,0.026791652664542198
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.6,0.019296370446681976,0.01982193998992443,0.1805272251367569,0.27904367446899414,0.13804443180561066,0.13804443180561066
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.75,0.045912615954875946,0.047189801931381226,0.22426515817642212,0.32195979356765747,0.19398604333400726,0.19398604333400726
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.85,0.0771334320306778,0.07754639536142349,0.24977879226207733,0.34238946437835693,0.23056186735630035,0.23056188225746155
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.9,0.09291283041238785,0.09131322056055069,0.26248595118522644,0.35283470153808594,0.24875038862228394,0.24875038862228394
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.95,0.08947626501321793,0.08848853409290314,0.2720375657081604,0.35640817880630493,0.26705121994018555,0.26705121994018555
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.0,0.11119858920574188,0.11148316413164139,0.2834874093532562,0.36256784200668335,0.2861144542694092,0.28611448407173157
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.05,0.14147421717643738,0.14299078285694122,0.2980627715587616,0.37520211935043335,0.30513516068458557,0.30513516068458557
