run_id,size_N,N,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,R_W_mean,R_X_mean
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,0.75,0.03352584317326546,0.03387417644262314,0.22319184243679047,0.3199545741081238,0.19239278137683868,0.19239278137683868
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,0.85,0.049140654504299164,0.04918575659394264,0.24662716686725616,0.3370414972305298,0.2284812182188034,0.2284812182188034
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,0.9,0.061496373265981674,0.061477020382881165,0.25746700167655945,0.343364953994751,0.2465004026889801,0.2465004175901413
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,0.95,0.08113138377666473,0.08100181072950363,0.26940250396728516,0.3516113758087158,0.2652507424354553,0.2652507424354553
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.0,0.0972340777516365,0.09683853387832642,0.28159791231155396,0.3586456775665283,0.2837672531604767,0.2837672531604767
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.05,0.12714208662509918,0.12691335380077362,0.2946154773235321,0.36891913414001465,0.3030775487422943,0.3030775785446167
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.1,0.15312953293323517,0.15325477719306946,0.30894216895103455,0.3785320520401001,0.32255521416664124,0.3225552439689636
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.15,0.1938440054655075,0.19320593774318695,0.32419660687446594,0.3925931453704834,0.3423820734024048,0.3423820436000824
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.2,0.22627484798431396,0.2255263477563858,0.34159132838249207,0.4068219065666199,0.3625723123550415,0.3625726103782654
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.25,0.27030956745147705,0.27074769139289856,0.36118757724761963,0.42730408906936646,0.383271187543869,0.38327130675315857
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.3,0.31461161375045776,0.3143988847732544,0.3853701055049896,0.4526800513267517,0.40464529395103455,0.40464842319488525
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.4,0.403415322303772,0.40321242809295654,0.43724721670150757,0.5103650093078613,0.44912049174308777,0.4491826891899109
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.5,0.4928441047668457,0.49217689037323,0.5026422142982483,0.5792304277420044,0.5034487247467041,0.5036697387695312
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.6,0.595853865146637,0.5950320959091187,0.5994226336479187,0.6611242890357971,0.5931482911109924,0.5933237075805664
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.7,0.6975977420806885,0.6963629722595215,0.7018275260925293,0.7412289381027222,0.6947502493858337,0.6950076818466187
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.8,0.8005940318107605,0.7989962697029114,0.8041485548019409,0.8242819309234619,0.7967945337295532,0.797060489654541
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,1.9,0.9004312753677368,0.8983447551727295,0.9035409688949585,0.9097110033035278,0.8975011110305786,0.8976757526397705
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,2.0,0.9917671084403992,0.9893555641174316,0.9924893975257874,0.9942919015884399,0.9886814951896667,0.988713800907135
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,2.1,0.9995293617248535,0.9970982670783997,1.0000042915344238,0.9999521374702454,0.9983591437339783,0.9984011054039001
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,2.3,0.9994257092475891,0.9970100522041321,0.9999262690544128,0.9999972581863403,0.998106062412262,0.9981785416603088
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,2.5,0.999481201171875,0.9970471262931824,0.9999741315841675,1.0,0.9982141852378845,0.9982502460479736
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,0.0,0.0
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,0.3,0.007135788910090923,0.007351328153163195,0.061707980930805206,0.1110721230506897,0.030315304175019264,0.030315304175019264
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,0.6,0.014309084042906761,0.014829360879957676,0.18189069628715515,0.2799876928329468,0.13840849697589874,0.13840849697589874
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,0.75,0.032490022480487823,0.032825764268636703,0.22341683506965637,0.3194820284843445,0.19324509799480438,0.193245068192482
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,0.85,0.047586340457201004,0.048353567719459534,0.24780696630477905,0.33481377363204956,0.22948913276195526,0.22948911786079407
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,0.9,0.06301682442426682,0.06339408457279205,0.25955262780189514,0.3441393971443176,0.24783523380756378,0.24783524870872498
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,0.95,0.08284679800271988,0.08240047097206116,0.2702021598815918,0.3518567681312561,0.26649343967437744,0.26649343967437744
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.0,0.10257276892662048,0.10207703709602356,0.28260964155197144,0.3595190644264221,0.28512218594551086,0.28512218594551086
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.05,0.13562974333763123,0.13570381700992584,0.29766297340393066,0.3690266013145447,0.30438232421875,0.30438232421875
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.1,0.165678933262825,0.1661209613084793,0.311601847410202,0.38155877590179443,0.3237154185771942,0.3237153887748718
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.15,0.2004777193069458,0.2006547898054123,0.32612526416778564,0.39511436223983765,0.3433704972267151,0.3433704972267151
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.2,0.23786099255084991,0.23820607364177704,0.34469079971313477,0.411047101020813,0.36365756392478943,0.3636578619480133
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.25,0.286295086145401,0.28661486506462097,0.3693498373031616,0.4373956322669983,0.3842800557613373,0.3842810392379761
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.3,0.3262428045272827,0.32632309198379517,0.3901249170303345,0.46016770601272583,0.4054357409477234,0.4054446816444397
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.4,0.40810060501098633,0.4083331823348999,0.44008541107177734,0.5144616365432739,0.4499374032020569,0.45002514123916626
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.5,0.49775025248527527,0.49820613861083984,0.5072682499885559,0.5849287509918213,0.5048683881759644,0.5056160688400269
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.6,0.5969592332839966,0.5972481369972229,0.6017471551895142,0.6642650365829468,0.5939195156097412,0.5945001244544983
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.7,0.6994100213050842,0.7001558542251587,0.704777717590332,0.7446633577346802,0.6960891485214233,0.6969826817512512
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.8,0.8000966310501099,0.8004070520401001,0.8056899905204773,0.8256853222846985,0.7971248626708984,0.7977716326713562
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,1.9,0.8999071717262268,0.8999723792076111,0.9034186005592346,0.9099979996681213,0.8976521492004395,0.8982346653938293
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,2.0,0.991293728351593,0.990734875202179,0.9926109910011292,0.9943302869796753,0.9891510009765625,0.9892058968544006
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,2.1,0.9991376996040344,0.9985569715499878,1.0000263452529907,0.9999586939811707,0.9988913536071777,0.9989483952522278
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,2.3,0.999018132686615,0.9984689354896545,0.9999304413795471,0.9999959468841553,0.9986140131950378,0.9987339973449707
20260429_220711_grid_c_serial_bgs_N20000_M50_a24_S1_steps60000_1fc77e,N20000,20000,50,2.5,0.9990537762641907,0.9985067844390869,0.999968945980072,0.9999989867210388,0.9986822605133057,0.998806893825531
