run_id,size_N,N,M,alpha,Q_Y_COS,Q_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean,R_W_mean,R_X_mean,reused
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.0,0.0,0.0,0.0,4.203895392974451e-45,5.605193857299268e-45,0.0,0.0,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.3,0.5574754545254339,0.04941745102405548,0.09097695350646973,0.010476987808942795,0.009972013533115387,0.024911705404520035,0.024911705404520035,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.6,0.6380831199257305,0.17843280732631683,0.27866774797439575,0.05274183303117752,0.05485830083489418,0.13503508269786835,0.13503506779670715,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.75,0.6396083839039846,0.2203523814678192,0.3220166563987732,0.09258045256137848,0.09573697298765182,0.18850331008434296,0.18850329518318176,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.85,0.636916226050801,0.2466721385717392,0.3433496952056885,0.11402438580989838,0.11888935416936874,0.2251632958650589,0.2251633256673813,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.9,0.6362057119416804,0.25755229592323303,0.35122090578079224,0.11981286108493805,0.1221005842089653,0.24450431764125824,0.24450433254241943,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,0.95,0.6509838538631219,0.27722838521003723,0.37309950590133667,0.12564371526241302,0.13450771570205688,0.2643449008464813,0.2643449008464813,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.0,0.6530354238516212,0.291771799325943,0.3839194178581238,0.16693830490112305,0.16988727450370789,0.28214123845100403,0.28214123845100403,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.05,0.6576415617419831,0.30680274963378906,0.3959648609161377,0.189758762717247,0.19481222331523895,0.3017105460166931,0.3017105758190155,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.1,0.6574493478359492,0.31534940004348755,0.40062910318374634,0.21441693603992462,0.21982420980930328,0.31930163502693176,0.319301575422287,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.15,0.6608725331834704,0.32962432503700256,0.4104757308959961,0.21992748975753784,0.22658735513687134,0.33823466300964355,0.33823466300964355,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.2,0.6717567838519278,0.34856435656547546,0.42788732051849365,0.2488805651664734,0.2583743631839752,0.35926470160484314,0.35926464200019836,False
